kid,3702,3,298
enough,3699,3,299
once,3696,3,300
story,3696,3,301
meet,3693,3,302
show,3668,3,303
shown,3668,3,304
tree,3634,3,305
later,3631,3,306
herself,3625,3,307
believe,3612,3,308
someone,3600,3,309
though,3575,3,310
became,3547,3,311
become,3547,3,312
stay,3531,3,313
across,3528,3,314
same,3528,3,315
high,3513,3,316
heart,3497,3,317
book,3488,3,318
pick,3469,3,319
picked,3469,3,320
almost,3457,3,321
wear,3432,3,322
stare,3410,3,323
love,3388,3,324
bed,3382,3,325
catch,3376,3,326
caught,3376,3,327
together,3357,3,328
week,3320,3,329
such,3273,3,330
suddenly,3254,3,331
soon,3236,3,332
sister,3233,3,333
set,3217,3,334
best,3211,3,335
grew,3211,3,336
grow,3211,3,337
air,3205,3,338
table,3205,3,339
write,3198,3,340
wrote,3198,3,341
car,3195,3,342
follow,3177,3,343
everything,3155,3,344
shoulder,3149,3,345
send,3114,3,346
sent,3114,3,347
wall,3114,3,348
mind,3111,3,349
each,3083,3,350
guy,3061,3,351
since,3055,3,352
dog,3043,3,353
lose,3024,3,354
minute,3002,3,355
minutes,3002,3,356
else,2987,3,357
die,2962,3,358
died,2962,3,359
end,2931,3,360
yet,2897,3,361
finally,2859,3,362
listen,2856,3,363
part,2844,3,364
horse,2828,3,365
finger,2822,3,366
fingers,2822,3,367
money,2794,3,368
kind,2791,3,369
far,2775,3,370
pass,2775,3,371
passed,2775,3,372
four,2766,3,373
mouth,2753,3,374
nod,2750,3,375
already,2747,3,376
hour,2741,3,377
hours,2741,3,378
leg,2741,3,379
legs,2741,3,380
floor,2738,3,381
sorry,2735,3,382
light,2710,3,383
better,2707,3,384
body,2676,3,385
ground,2660,3,386
cried,2645,3,387
cry,2645,3,388
idea,2641,3,389
today,2635,3,390
change,2629,3,391
understand,2620,3,392
also,2617,3,393
game,2601,3,394
break,2592,3,395
learn,2582,3,396
sound,2582,3,397
dark,2564,3,398
between,2561,3,399
throw,2557,3,400
close,2551,3,401
paper,2526,3,402
team,2514,3,403
town,2514,3,404
answer,2501,3,405
ball,2501,3,406
red,2501,3,407
most,2483,3,408
hope,2473,3,409
decide,2467,3,410
decided,2467,3,411
onto,2452,3,412
hang,2445,3,413
return,2439,3,414
hard,2433,3,415
job,2411,3,416
grab,2402,3,417
fine,2399,3,418
continue,2389,3,419
course,2386,3,420
myself,2386,3,421
carry,2380,3,422
son,2380,3,423
wish,2380,3,424
forget,2374,3,425
kill,2355,3,426
killed,2355,3,427
ago,2349,3,428
step,2324,3,429
fill,2321,3,430
filled,2321,3,431
parent,2315,3,432
breath,2312,3,433
blue,2309,3,434
real,2293,3,435
baby,2281,3,436
please,2268,3,437
month,2265,3,438
months,2265,3,439
